,wl_lake,temp_lake,temp_land,wspd_lake,wspd_land,lst,Precp
1981-01-01,183.3265,-5.873747721821273,-10.153757516385179,8.699470448498348,4.843438646775674,2.4472931771840254,1.233934426229508
1981-01-02,183.32516666666663,-16.919791883351845,-21.457756829840722,9.135926169719662,5.045123103599819,2.2405439843610186,1.8616393442622952
1981-01-03,183.32016666666667,-20.465689302301733,-29.407295151262083,9.99977136971686,4.741382854530937,1.9736069322704584,1.429016393442623
1981-01-04,183.32233333333332,-17.27722133584574,-26.36125118264036,9.423408040481718,4.302324234168283,1.9072022418931323,1.0968852459016396
1981-01-05,183.2943333333333,-10.339325178237189,-17.220760151776776,7.847209077178157,3.962419767160969,2.128395833414161,0.1542622950819672
1981-01-06,183.31283333333332,-7.101171804934134,-11.10167822511517,7.9723400618571425,4.686928728008884,2.047302212550433,1.0250819672131148
1981-01-07,183.31199999999998,-15.043844709590985,-22.084458770078278,10.024227046720638,4.938244557414784,2.037646242351083,1.979344262295082
1981-01-08,183.28566666666666,-11.360701470147996,-20.661264204821038,6.179508606851232,2.7771642498430666,2.1753071367615746,0.41
1981-01-09,183.30183333333332,-12.442463459611751,-19.105304002235528,9.56001539117112,4.720086009788645,2.1305044069464034,1.1557377049180328
1981-01-10,183.29033333333334,-14.672003843346426,-22.39364839179101,8.94504392787373,4.027615304556878,2.178045177723859,1.7311475409836066
1981-01-11,183.28833333333333,-13.37392936758444,-20.849440479910143,8.792087395356003,3.943537904975545,2.138176447446895,1.139508196721311
1981-01-12,183.27216666666666,-7.5207877191556545,-13.593078078549956,5.641965287887065,2.7290486750313403,2.385250864325169,0.37
1981-01-13,183.27466666666666,-5.907541755105363,-10.219780427204322,4.082358555602896,1.9165605478408034,2.455036187670389,0.019672131147540985
1981-01-14,183.27066666666667,-6.593420729345203,-10.65892764800958,3.725214830638282,2.2539428558301213,2.316760168244445,0.3129508196721311
1981-01-15,183.27616666666665,-7.817849795023601,-14.118784595009506,8.68318919735613,4.60346934105354,2.196930228574873,2.0340983606557375
1981-01-16,183.2746666666667,-11.182816427581164,-17.759495101490813,7.928227616985732,3.690130819564536,1.9320435332499475,4.383934426229508
1981-01-17,183.2595,-6.399020636162793,-11.294861353522633,7.4099419946287455,4.1950746321907575,1.7310251219811053,0.11721311475409835
1981-01-18,183.263,-1.2704489831210801,-3.5109852333995173,7.13708759708613,4.130015701369302,1.6413208331636566,0.0
1981-01-19,183.2601666666667,-1.2354831565805027,-5.414323137295958,4.052589764433366,2.430236600361608,2.260719274389687,0.0
1981-01-20,183.25516666666667,-3.2524907572739776,-7.701613760941865,4.706956854183069,2.299893702265567,2.5742902920193558,0.0
1981-01-21,183.25233333333335,-2.628260035093138,-5.850935053878011,6.555791625068808,3.984836508154307,2.512078621072769,0.0
1981-01-22,183.26166666666663,-1.026276244598181,-3.003513555126739,8.277497886017501,4.71393361902232,2.494454804232506,0.027704918032786883
1981-01-23,183.25500000000002,-2.0413735448097694,-4.707970229732017,5.8473644558997195,3.0489594063194794,2.8540476073505396,0.08245901639344262
1981-01-24,183.24866666666665,-3.2237692852409507,-6.965903330586077,3.6042582277975876,1.9852698412151113,2.3917431629298207,0.0
1981-01-25,183.23383333333334,-0.4233013334728423,-1.9181042685940306,6.455008809427352,3.7028600001740806,2.279625290621252,0.0
1981-01-26,183.2601666666667,-3.453831685643617,-7.229100355775677,7.8225693144129576,5.101217753476969,2.0999360010085586,0.14262295081967208
1981-01-27,183.24883333333335,-10.726494828049013,-17.36744985096238,5.992548181740545,3.027826236401451,1.721469578591799,1.1339344262295077
1981-01-28,183.24716666666666,-9.42371212706274,-15.428479314639874,5.899839244080074,3.003788210309335,1.4596029533594501,0.7344262295081967
1981-01-29,183.25216666666668,-10.627920196169898,-17.081746347692633,6.786385275394339,3.177411742401216,1.3028435741184774,1.8236065573770492
1981-01-30,183.23666666666668,-8.185389551175698,-15.249732815403547,4.807100079307876,2.5595055009964565,1.7091817330699288,0.13377049180327868
1981-01-31,183.221,-5.332123879672718,-8.42273722263361,6.94326377938811,4.3746970943053265,2.2007611505667097,0.25459016393442624
1981-02-01,183.239,-5.3302040554228265,-8.997014523605117,7.725014229038272,5.006981725910372,2.1656055637760807,6.405573770491802
1981-02-02,183.24833333333333,-17.098664413504043,-23.15044034237892,9.532442311534455,5.398558956435264,1.8951045644633855,4.0478688524590165
1981-02-03,183.23433333333332,-17.75712766452712,-23.582768038145495,7.468601155568356,3.988120955425881,1.4216038250707703,0.6686885245901641
1981-02-04,183.23316666666668,-17.63627933969303,-22.53663424308727,7.4483309624655085,4.005315026832158,1.0524293899756583,0.5608196721311475
1981-02-05,183.22016666666664,-10.226157357092616,-13.02190088857352,7.550932268880385,4.203125918154572,0.9627907400801582,0.19098360655737706
1981-02-06,183.22783333333334,-8.165114448184061,-11.707218544898973,5.382551810926506,3.089399065927552,0.8755809486684738,1.3665573770491801
1981-02-07,183.22866666666667,-6.85901506904031,-9.940033784238967,4.8096478471212,2.902436075510325,0.9029731383450262,2.0688524590163935
1981-02-08,183.2408333333333,-13.055485031231735,-17.48430499651573,7.876432720082114,4.517476734429311,0.893620743861938,3.4783606557377054
1981-02-09,183.21883333333335,-13.06012608404873,-20.498081506219663,5.108177121886702,2.776647466334214,0.8769615741441223,0.2449180327868852
